message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.006432, y=8.394947])";"30";"turtlesim1.sim";"1726576700.317420601";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.409565])";"30";"turtlesim1.sim";"1726576700.332664633";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.424183])";"30";"turtlesim1.sim";"1726576700.348945393";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.438801])";"30";"turtlesim1.sim";"1726576700.365126446";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.453419])";"30";"turtlesim1.sim";"1726576700.381395909";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.468037])";"30";"turtlesim1.sim";"1726576700.396547849";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.006432, y=8.394947])";"30";"turtlesim2.sim";"1726576700.397283156";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.482655])";"30";"turtlesim1.sim";"1726576700.412856444";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.409565])";"30";"turtlesim2.sim";"1726576700.413020160";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.006432, y=8.394947])";"30";"turtlesim3.sim";"1726576700.420419458";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.497273])";"30";"turtlesim1.sim";"1726576700.429130325";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.424183])";"30";"turtlesim2.sim";"1726576700.429130325";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.409565])";"30";"turtlesim3.sim";"1726576700.435617019";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.438801])";"30";"turtlesim3.sim";"1726576700.467706999";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.541127])";"30";"turtlesim1.sim";"1726576700.476717878";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.468037])";"30";"turtlesim2.sim";"1726576700.476777063";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.453419])";"30";"turtlesim3.sim";"1726576700.483713155";"./src/turtle.cpp:update:260"
